account_id;client_id;product_code;product_name;opened_at;closed_at;status
A1000051;C100870;DC;Дебетовая карта «Синица»;2025-02-17;;active
A1000052;C100870;DC;Дебетовая карта «Синица»;2026-02-25;;active
A1000053;C108640;DC;Дебетовая карта «Синица»;2025-05-28;;active
A1000054;C108640;DC;Дебетовая карта «Синица»;2026-05-21;;active
A1000055;C109074;DC;Дебетовая карта «Синица»;2023-12-28;;active
A1000056;C108890;DC;Дебетовая карта «Синица»;2024-05-17;;active
A1000057;C108890;DEP;Вклад «Гнездо»;2023-07-23;2025-09-26;closed
A1000058;C103692;DC;Дебетовая карта «Синица»;2024-06-27;;active
A1000059;C103692;SV;Накопительный счёт «Копилка»;2024-06-27;;active
A1000060;C103692;DC;Дебетовая карта «Синица»;2024-06-27;;active
A1000061;C109590;DC;Дебетовая карта «Синица»;2025-05-23;;active
A1000062;C109590;SV;Накопительный счёт «Копилка»;2026-06-10;2025-03-10;closed
A1000063;C110185;DC;Дебетовая карта «Синица»;2025-10-25;2025-05-01;closed
A1000064;C110185;CC;Кредитная карта «Синица»;2025-10-25;;active
A1000065;C109565;DC;Дебетовая карта «Синица»;2024-03-15;;active
A1000066;C107014;DC;Дебетовая карта «Синица»;2024-06-18;;active
A1000067;C109446;DC;Дебетовая карта «Синица»;2026-07-25;;active
A1000068;C108198;DC;Дебетовая карта «Синица»;2025-02-21;;active
A1000069;C101996;DC;Дебетовая карта «Синица»;2024-12-27;;active
A1000070;C101996;DC;Дебетовая карта «Синица»;2025-09-11;;active
A1000071;C101996;DC;Дебетовая карта «Синица»;2026-07-13;;active
A1000072;C100834;DC;Дебетовая карта «Синица»;2022-04-23;;active
A1000073;C106257;DC;Дебетовая карта «Синица»;2026-07-19;;active
A1000074;C106257;SV;Накопительный счёт «Копилка»;2023-02-11;;active
A1000075;C110526;DC;Дебетовая карта «Синица»;2025-01-16;;active
A1000076;C110526;DC;Дебетовая карта «Синица»;2022-10-04;;active
A1000077;C108946;DC;Дебетовая карта «Синица»;2022-01-24;;active
A1000078;C108946;DC;Дебетовая карта «Синица»;2024-08-01;;active
A1000079;C110276;DC;Дебетовая карта «Синица»;2023-01-21;;active
A1000080;C105666;DC;Дебетовая карта «Синица»;2025-11-27;;active
A1000081;C105666;DC;Дебетовая карта «Синица»;2025-11-27;;active
A1000082;C105666;DC;Дебетовая карта «Синица»;2025-11-27;;active
A1000083;C101490;DC;Дебетовая карта «Синица»;2025-02-17;2025-11-17;closed
A1000084;C101490;DEP;Вклад «Гнездо»;2023-07-20;;active
A1000085;C100951;DC;Дебетовая карта «Синица»;2024-11-10;;active
A1000086;C100951;SV;Накопительный счёт «Копилка»;2026-02-04;;active
A1000087;C100951;CC;Кредитная карта «Синица»;2024-11-10;;active
A1000088;C101607;DC;Дебетовая карта «Синица»;2022-06-09;;active
A1000089;C108772;DC;Дебетовая карта «Синица»;2026-02-25;;active
A1000090;C108772;CC;Кредитная карта «Синица»;2025-07-06;;active
A1000091;C104438;DC;Дебетовая карта «Синица»;2025-01-21;;active
A1000092;C107996;DC;Дебетовая карта «Синица»;2025-09-19;2025-03-11;closed
A1000093;C107996;DC;Дебетовая карта «Синица»;2024-12-23;;active
A1000094;C111249;DC;Дебетовая карта «Синица»;2023-05-11;;active
A1000095;C106445;DC;Дебетовая карта «Синица»;2022-06-10;;active
A1000096;C106445;DC;Дебетовая карта «Синица»;2023-04-04;;active
A1000097;C106445;CC;Кредитная карта «Синица»;2022-06-10;;active
A1000098;C101797;DC;Дебетовая карта «Синица»;2025-07-14;;active
A1000099;C101797;DC;Дебетовая карта «Синица»;2025-04-17;;active
A1000100;C101797;SV;Накопительный счёт «Копилка»;2025-04-17;;active
A1000101;C111077;DC;Дебетовая карта «Синица»;2026-01-03;;active
A1000102;C108441;DC;Дебетовая карта «Синица»;2025-10-05;;active
A1000103;C110109;DC;Дебетовая карта «Синица»;2024-12-17;;active
A1000104;C110694;DC;Дебетовая карта «Синица»;2023-06-10;;active
A1000105;C110694;CC;Кредитная карта «Синица»;2026-12-09;;active
A1000106;C111956;DC;Дебетовая карта «Синица»;2024-05-25;;active
A1000107;C102447;DC;Дебетовая карта «Синица»;2023-02-21;;active
A1000108;C102894;DC;Дебетовая карта «Синица»;2024-02-19;;active
A1000109;C102894;DC;Дебетовая карта «Синица»;2024-10-06;;active
A1000110;C108216;DC;Дебетовая карта «Синица»;2022-10-19;;active
A1000111;C103321;DC;Дебетовая карта «Синица»;2022-09-07;;active
A1000112;C103976;DC;Дебетовая карта «Синица»;2025-07-05;;active
A1000113;C103003;DC;Дебетовая карта «Синица»;2025-12-17;;active
A1000114;C104883;DC;Дебетовая карта «Синица»;2026-01-23;;active
A1000115;C104883;CC;Кредитная карта «Синица»;2023-03-02;;active
A1000116;C104883;DC;Дебетовая карта «Синица»;2022-09-01;;active
A1000117;C104851;DC;Дебетовая карта «Синица»;2025-04-24;;active
A1000118;C105161;DC;Дебетовая карта «Синица»;2024-04-20;2026-10-09;closed
A1000119;C105161;CC;Кредитная карта «Синица»;2024-04-20;;active
A1000120;C105161;CC;Кредитная карта «Синица»;2024-08-06;;active
A1000121;C109813;DC;Дебетовая карта «Синица»;2025-07-11;;active
A1000122;C108760;DC;Дебетовая карта «Синица»;2021-10-13;;active
A1000123;C107954;DC;Дебетовая карта «Синица»;2025-11-09;;active
A1000124;C103293;DC;Дебетовая карта «Синица»;2022-07-05;;active
A1000125;C103293;CC;Кредитная карта «Синица»;2023-06-27;;active
A1000126;C103293;DC;Дебетовая карта «Синица»;2023-01-21;;active
A1000127;C103431;DC;Дебетовая карта «Синица»;2022-10-04;;active
A1000128;C103431;DC;Дебетовая карта «Синица»;2024-12-26;;active
A1000129;C105624;DC;Дебетовая карта «Синица»;2024-02-18;;active
A1000130;C105624;DC;Дебетовая карта «Синица»;2021-09-25;;active
A1000131;C111052;DC;Дебетовая карта «Синица»;2024-11-10;;active
A1000132;C111052;DC;Дебетовая карта «Синица»;2024-12-21;;active
A1000133;C107538;DC;Дебетовая карта «Синица»;2025-07-11;;active
A1000134;C110346;DC;Дебетовая карта «Синица»;2024-01-01;2025-01-02;closed
A1000135;C105867;DC;Дебетовая карта «Синица»;2023-08-03;;active
A1000136;C105867;DC;Дебетовая карта «Синица»;2022-10-08;;active
A1000137;C105597;DC;Дебетовая карта «Синица»;2025-12-15;;active
A1000138;C105597;CC;Кредитная карта «Синица»;2026-08-14;;active
A1000139;C105597;DC;Дебетовая карта «Синица»;2025-12-15;;active
A1000140;C805923;DC;Дебетовая карта «Синица»;2024-06-21;;active
A1000141;C104260;DC;Дебетовая карта «Синица»;2025-12-23;;active
A1000142;C104260;SV;Накопительный счёт «Копилка»;2025-12-23;;active
A1000143;C809659;DC;Дебетовая карта «Синица»;2023-03-11;;active
A1000144;C103160;DC;Дебетовая карта «Синица»;2021-07-27;;active
A1000145;C110679;DC;Дебетовая карта «Синица»;2025-01-27;;active
A1000146;C110679;DEP;Вклад «Гнездо»;2023-02-13;;active
A1000147;C110679;DC;Дебетовая карта «Синица»;2023-03-12;;active
A1000148;C109820;DC;Дебетовая карта «Синица»;2025-10-26;;active
A1000149;C109820;SV;Накопительный счёт «Копилка»;2026-08-24;2026-11-05;closed
A1000150;C104226;DC;Дебетовая карта «Синица»;2024-04-05;;active
A1000151;C104226;DEP;Вклад «Гнездо»;2026-05-25;;active
A1000152;C108039;DC;Дебетовая карта «Синица»;2025-11-11;;active
A1000153;C108039;CC;Кредитная карта «Синица»;2026-06-08;;active
A1000154;C108039;DEP;Вклад «Гнездо»;2025-11-11;2025-11-17;closed
A1000155;C111459;DC;Дебетовая карта «Синица»;2025-01-08;;active
A1000156;C105783;DC;Дебетовая карта «Синица»;2023-08-15;;active
A1000157;C105783;CC;Кредитная карта «Синица»;2022-07-02;;active
A1000158;C105783;DC;Дебетовая карта «Синица»;2024-06-16;;active
A1000159;C102349;DC;Дебетовая карта «Синица»;2024-04-23;2026-04-20;closed
A1000160;C100001;DC;Дебетовая карта «Синица»;2025-04-19;;active
A1000161;C100001;DC;Дебетовая карта «Синица»;2025-08-10;;active
A1000162;C100001;SV;Накопительный счёт «Копилка»;2025-04-19;2025-05-05;closed
A1000163;C104773;DC;Дебетовая карта «Синица»;2025-05-11;;active
A1000164;C104773;SV;Накопительный счёт «Копилка»;2025-05-11;;active
A1000165;C101944;DC;Дебетовая карта «Синица»;2023-05-22;;active
A1000166;C107461;DC;Дебетовая карта «Синица»;2026-11-26;;active
A1000167;C107461;CC;Кредитная карта «Синица»;2024-12-17;;active
A1000168;C107918;DC;Дебетовая карта «Синица»;2025-07-19;;active
A1000169;C107740;DC;Дебетовая карта «Синица»;2025-08-20;2026-08-27;closed
A1000170;C110545;DC;Дебетовая карта «Синица»;2024-12-17;;active
A1000171;C110545;CC;Кредитная карта «Синица»;2026-01-05;;active
A1000172;C110545;DC;Дебетовая карта «Синица»;2024-12-17;2025-12-01;closed
A1000173;C111474;DC;Дебетовая карта «Синица»;2025-09-05;;active
A1000174;C111474;DC;Дебетовая карта «Синица»;2026-07-11;;active
A1000175;C111474;DC;Дебетовая карта «Синица»;2025-10-14;;active
A1000176;C105377;DC;Дебетовая карта «Синица»;2024-11-11;;active
A1000177;C106937;DC;Дебетовая карта «Синица»;2025-01-14;;active
A1000178;C103409;DC;Дебетовая карта «Синица»;2025-01-10;;active
A1000179;C103409;DC;Дебетовая карта «Синица»;2021-11-05;;active
A1000180;C100158;DC;Дебетовая карта «Синица»;2024-11-18;;active
A1000181;C106210;DC;Дебетовая карта «Синица»;2022-07-14;;active
A1000182;C103061;DC;Дебетовая карта «Синица»;2024-12-19;;active
A1000183;C103061;CC;Кредитная карта «Синица»;2024-12-19;;active
A1000184;C108165;DC;Дебетовая карта «Синица»;2023-12-08;;active
A1000185;C101687;DC;Дебетовая карта «Синица»;2025-05-11;;active
A1000186;C101687;DC;Дебетовая карта «Синица»;2024-03-18;;active
A1000187;C104663;DC;Дебетовая карта «Синица»;2025-08-27;;active
A1000188;C104663;SV;Накопительный счёт «Копилка»;2025-08-27;;active
A1000189;C104663;DC;Дебетовая карта «Синица»;2025-08-27;;active
A1000190;C107770;DC;Дебетовая карта «Синица»;2026-09-19;;active
A1000191;C107770;DC;Дебетовая карта «Синица»;2026-05-24;;active
A1000192;C105283;DC;Дебетовая карта «Синица»;2022-12-19;;active
A1000193;C108912;DC;Дебетовая карта «Синица»;2023-12-22;;active
A1000194;C111966;DC;Дебетовая карта «Синица»;2023-09-26;;active
A1000195;C111966;DC;Дебетовая карта «Синица»;2024-06-20;;active
A1000196;C107821;DC;Дебетовая карта «Синица»;2024-08-26;;active
A1000197;C107821;DC;Дебетовая карта «Синица»;2023-04-02;2026-07-25;closed
A1000198;C104091;DC;Дебетовая карта «Синица»;2023-02-21;;active
A1000199;C104091;DC;Дебетовая карта «Синица»;2025-05-05;;active
A1000200;C110257;DC;Дебетовая карта «Синица»;2026-03-05;2025-01-02;closed
A1000201;C110257;DC;Дебетовая карта «Синица»;2023-04-11;;active
A1000202;C100366;DC;Дебетовая карта «Синица»;2025-11-19;;active
A1000203;C104060;DC;Дебетовая карта «Синица»;2025-03-21;2025-07-05;closed
A1000204;C109591;DC;Дебетовая карта «Синица»;2025-11-04;;active
A1000205;C103182;DC;Дебетовая карта «Синица»;2026-02-12;;active
A1000206;C103182;DC;Дебетовая карта «Синица»;2023-06-23;;active
A1000207;C102594;DC;Дебетовая карта «Синица»;2026-01-27;;active
A1000208;C102594;CC;Кредитная карта «Синица»;2023-08-19;;active
A1000209;C111504;DC;Дебетовая карта «Синица»;2026-03-02;;active
A1000210;C110575;DC;Дебетовая карта «Синица»;2025-09-13;;active
A1000211;C110575;DC;Дебетовая карта «Синица»;2026-02-26;;active
A1000212;C104502;DC;Дебетовая карта «Синица»;2025-03-09;;active
A1000213;C104502;SV;Накопительный счёт «Копилка»;2022-05-27;;active
A1000214;C105986;DC;Дебетовая карта «Синица»;2024-08-09;;active
A1000215;C105521;DC;Дебетовая карта «Синица»;2025-03-13;;active
A1000216;C110998;DC;Дебетовая карта «Синица»;2023-04-04;;active
A1000217;C110998;DC;Дебетовая карта «Синица»;2023-11-12;;active
A1000218;C106169;DC;Дебетовая карта «Синица»;2026-09-25;;active
A1000219;C106169;DC;Дебетовая карта «Синица»;2025-08-08;;active
A1000220;C106169;CC;Кредитная карта «Синица»;2025-04-01;;active
A1000221;C111528;DC;Дебетовая карта «Синица»;2024-11-02;;active
A1000222;C111675;DC;Дебетовая карта «Синица»;2025-06-18;;active
A1000223;C111675;SV;Накопительный счёт «Копилка»;2026-08-11;;active
A1000224;C109363;DC;Дебетовая карта «Синица»;2025-09-19;;active
A1000225;C804351;DC;Дебетовая карта «Синица»;2022-09-15;;active
A1000226;C106193;DC;Дебетовая карта «Синица»;2026-11-14;;active
A1000227;C111182;DC;Дебетовая карта «Синица»;2025-06-02;;active
A1000228;C111182;DC;Дебетовая карта «Синица»;2023-11-26;;active
A1000229;C108138;DC;Дебетовая карта «Синица»;2026-07-03;;active
A1000230;C108138;CC;Кредитная карта «Синица»;2023-05-24;;active
A1000231;C109743;DC;Дебетовая карта «Синица»;2025-10-07;;active
A1000232;C109743;CC;Кредитная карта «Синица»;2025-12-04;;active
A1000233;C110556;DC;Дебетовая карта «Синица»;2023-08-09;;active
A1000234;C109299;DC;Дебетовая карта «Синица»;2026-01-03;;active
A1000235;C106800;DC;Дебетовая карта «Синица»;2026-12-05;;active
A1000236;C106800;DC;Дебетовая карта «Синица»;2024-01-14;;active
A1000237;C104263;DC;Дебетовая карта «Синица»;2026-04-20;;active
A1000238;C104263;DC;Дебетовая карта «Синица»;2024-10-28;;active
A1000239;C806471;DC;Дебетовая карта «Синица»;2023-10-26;;active
A1000240;C108977;DC;Дебетовая карта «Синица»;2024-09-09;;active
A1000241;C108977;DC;Дебетовая карта «Синица»;2024-09-09;;active
A1000242;C111489;DC;Дебетовая карта «Синица»;2024-08-10;;active
A1000243;C111489;DC;Дебетовая карта «Синица»;2024-08-10;;active
A1000244;C111489;DC;Дебетовая карта «Синица»;2025-11-13;;active
A1000245;C109985;DC;Дебетовая карта «Синица»;2024-10-03;;active
A1000246;C109985;CC;Кредитная карта «Синица»;2026-04-13;;active
A1000247;C107261;DC;Дебетовая карта «Синица»;2024-03-23;;active
A1000248;C107261;SV;Накопительный счёт «Копилка»;2024-03-23;;active
A1000249;C103597;DC;Дебетовая карта «Синица»;2024-03-09;;active
A1000250;C103597;DC;Дебетовая карта «Синица»;2023-07-10;;active
A1000251;C106842;DC;Дебетовая карта «Синица»;2026-08-06;;active
A1000252;C106842;DC;Дебетовая карта «Синица»;2024-10-21;;active
A1000253;C106842;DC;Дебетовая карта «Синица»;2023-12-20;;active
A1000254;C108102;DC;Дебетовая карта «Синица»;2022-10-03;2025-03-26;closed
A1000255;C106221;DC;Дебетовая карта «Синица»;2022-09-15;;active
A1000256;C100382;DC;Дебетовая карта «Синица»;2025-03-15;;active
A1000257;C110661;DC;Дебетовая карта «Синица»;2022-08-28;2025-05-06;closed
A1000258;C110661;DC;Дебетовая карта «Синица»;2022-08-28;;active
A1000259;C110661;SV;Накопительный счёт «Копилка»;2022-08-28;;active
A1000260;C104035;DC;Дебетовая карта «Синица»;2025-06-05;;active
A1000261;C104035;DEP;Вклад «Гнездо»;2025-06-05;;active
A1000262;C104035;DC;Дебетовая карта «Синица»;2025-06-05;2026-09-01;closed
A1000263;C107507;DC;Дебетовая карта «Синица»;2025-03-03;;active
A1000264;C107507;DC;Дебетовая карта «Синица»;2025-11-11;;active
A1000265;C107507;CC;Кредитная карта «Синица»;2024-05-05;;active
A1000266;C108744;DC;Дебетовая карта «Синица»;2026-07-27;;active
A1000267;C108744;CC;Кредитная карта «Синица»;2025-06-25;;active
A1000268;C108744;CC;Кредитная карта «Синица»;2023-09-05;;active
A1000269;C100796;DC;Дебетовая карта «Синица»;2025-08-21;;active
A1000270;C106557;DC;Дебетовая карта «Синица»;2025-02-23;;active
A1000271;C106557;DC;Дебетовая карта «Синица»;2023-02-03;2026-08-07;closed
A1000272;C107580;DC;Дебетовая карта «Синица»;2024-08-08;;active
A1000273;C107580;DC;Дебетовая карта «Синица»;2025-11-08;;active
A1000274;C102290;DC;Дебетовая карта «Синица»;2023-02-20;;active
A1000275;C105563;DC;Дебетовая карта «Синица»;2023-03-27;;active
A1000276;C105563;SV;Накопительный счёт «Копилка»;2023-12-17;;active
A1000277;C105563;DC;Дебетовая карта «Синица»;2025-04-13;;active
A1000278;C109101;DC;Дебетовая карта «Синица»;2025-12-21;;active
A1000279;C111133;DC;Дебетовая карта «Синица»;2023-09-16;;active
A1000280;C111133;CC;Кредитная карта «Синица»;2023-09-16;;active
A1000281;C100200;DC;Дебетовая карта «Синица»;2023-10-22;2026-09-01;closed
A1000282;C105138;DC;Дебетовая карта «Синица»;2024-07-02;;active
A1000283;C105138;DC;Дебетовая карта «Синица»;2025-09-01;;active
A1000284;C100995;DC;Дебетовая карта «Синица»;2023-08-20;;active
A1000285;C103880;DC;Дебетовая карта «Синица»;2025-07-07;;active
A1000286;C105157;DC;Дебетовая карта «Синица»;2022-11-28;;active
A1000287;C106412;DC;Дебетовая карта «Синица»;2026-03-12;;active
A1000288;C108809;DC;Дебетовая карта «Синица»;2024-10-25;;active
A1000289;C108809;SV;Накопительный счёт «Копилка»;2024-10-25;;active
A1000290;C103818;DC;Дебетовая карта «Синица»;2023-07-27;;active
A1000291;C109543;DC;Дебетовая карта «Синица»;2024-03-24;;active
A1000292;C107355;DC;Дебетовая карта «Синица»;2026-05-18;;active
A1000293;C101003;DC;Дебетовая карта «Синица»;2024-10-09;2026-10-21;closed
A1000294;C101003;CC;Кредитная карта «Синица»;2024-10-09;;active
A1000295;C105657;DC;Дебетовая карта «Синица»;2024-05-26;;active
A1000296;C105657;DC;Дебетовая карта «Синица»;2024-05-26;;active
A1000297;C102004;DC;Дебетовая карта «Синица»;2025-11-21;;active
A1000298;C103626;DC;Дебетовая карта «Синица»;2024-03-03;;active
A1000299;C103626;CC;Кредитная карта «Синица»;2023-06-28;;active
A1000300;C109219;DC;Дебетовая карта «Синица»;2023-05-06;;active
A1000301;C109219;SV;Накопительный счёт «Копилка»;2024-02-21;;active
A1000302;C109219;DC;Дебетовая карта «Синица»;2025-10-22;;active
A1000303;C107618;DC;Дебетовая карта «Синица»;2023-07-25;;active
A1000304;C108482;DC;Дебетовая карта «Синица»;2025-10-28;;active
A1000305;C107702;DC;Дебетовая карта «Синица»;2023-01-11;;active
A1000306;C107702;SV;Накопительный счёт «Копилка»;2024-09-08;;active
A1000307;C107702;SV;Накопительный счёт «Копилка»;2026-07-22;;active
A1000308;C101560;DC;Дебетовая карта «Синица»;2025-01-03;;active
A1000309;C101560;CC;Кредитная карта «Синица»;2023-12-11;;active
A1000310;C110691;DC;Дебетовая карта «Синица»;2021-09-13;;active
A1000311;C110780;DC;Дебетовая карта «Синица»;2026-07-18;;active
A1000312;C110780;CC;Кредитная карта «Синица»;2022-12-16;;active
A1000313;C109775;DC;Дебетовая карта «Синица»;2025-08-10;;active
A1000314;C109775;DEP;Вклад «Гнездо»;2021-11-11;;active
A1000315;C104557;DC;Дебетовая карта «Синица»;2025-01-12;;active
A1000316;C107031;DC;Дебетовая карта «Синица»;2025-02-05;;active
A1000317;C107031;CC;Кредитная карта «Синица»;2025-02-05;;active
A1000318;C107031;DC;Дебетовая карта «Синица»;2025-02-05;;active
A1000319;C106679;DC;Дебетовая карта «Синица»;2024-03-06;;active
A1000320;C106679;DC;Дебетовая карта «Синица»;2026-09-11;;active
A1000321;C100132;DC;Дебетовая карта «Синица»;2024-07-21;;active
A1000322;C105909;DC;Дебетовая карта «Синица»;2022-02-28;;active
A1000323;C105909;DC;Дебетовая карта «Синица»;2026-02-09;;active
A1000324;C102452;DC;Дебетовая карта «Синица»;2024-04-07;;active
A1000325;C102452;DC;Дебетовая карта «Синица»;2022-10-15;;active
A1000326;C102452;DC;Дебетовая карта «Синица»;2025-02-28;;active
A1000327;C109115;DC;Дебетовая карта «Синица»;2023-02-27;;active
A1000328;C110444;DC;Дебетовая карта «Синица»;2025-07-26;;active
A1000329;C105998;DC;Дебетовая карта «Синица»;2025-03-20;;active
A1000330;C108276;DC;Дебетовая карта «Синица»;2026-10-13;;active
A1000331;C108276;SV;Накопительный счёт «Копилка»;2024-01-08;;active
A1000332;C108276;SV;Накопительный счёт «Копилка»;2024-05-03;;active
A1000333;C101299;DC;Дебетовая карта «Синица»;2025-06-22;;active
A1000334;C101299;DC;Дебетовая карта «Синица»;2025-06-22;;active
A1000335;C106567;DC;Дебетовая карта «Синица»;2025-03-11;;active
A1000336;C106630;DC;Дебетовая карта «Синица»;2025-02-23;;active
A1000337;C106630;DC;Дебетовая карта «Синица»;2026-08-17;;active
A1000338;C100261;DC;Дебетовая карта «Синица»;2026-08-22;;active
A1000339;C103899;DC;Дебетовая карта «Синица»;2024-01-20;;active
A1000340;C103899;CC;Кредитная карта «Синица»;2024-08-17;;active
A1000341;C103899;CC;Кредитная карта «Синица»;2024-10-16;;active
A1000342;C103804;DC;Дебетовая карта «Синица»;2025-04-18;;active
A1000343;C108745;DC;Дебетовая карта «Синица»;2025-11-12;;active
A1000344;C108745;CC;Кредитная карта «Синица»;2022-10-10;;active
A1000345;C108745;DC;Дебетовая карта «Синица»;2021-08-27;;active
A1000346;C108765;DC;Дебетовая карта «Синица»;2023-04-16;;active
A1000347;C101755;DC;Дебетовая карта «Синица»;2023-06-01;;active
A1000348;C107240;DC;Дебетовая карта «Синица»;2021-08-09;;active
A1000349;C102215;DC;Дебетовая карта «Синица»;2026-08-20;2025-12-12;closed
A1000350;C106058;DC;Дебетовая карта «Синица»;2026-07-28;;active
A1000351;C109841;DC;Дебетовая карта «Синица»;2024-03-02;;active
A1000352;C107655;DC;Дебетовая карта «Синица»;2025-10-22;;active
A1000353;C107655;DC;Дебетовая карта «Синица»;2025-09-06;;active
A1000354;C100675;DC;Дебетовая карта «Синица»;2022-12-12;;active
A1000355;C106864;DC;Дебетовая карта «Синица»;2025-12-18;;active
A1000356;C105526;DC;Дебетовая карта «Синица»;2026-06-09;2025-02-21;closed
A1000357;C105526;SV;Накопительный счёт «Копилка»;2022-04-02;;active
A1000358;C105526;SV;Накопительный счёт «Копилка»;2021-11-16;;active
A1000359;C101866;DC;Дебетовая карта «Синица»;2022-12-18;;active
A1000360;C101866;DC;Дебетовая карта «Синица»;2022-12-18;;active
A1000361;C101866;SV;Накопительный счёт «Копилка»;2024-07-01;2026-07-01;closed
A1000362;C100936;DC;Дебетовая карта «Синица»;2025-07-24;;active
A1000363;C106857;DC;Дебетовая карта «Синица»;2022-11-25;;active
A1000364;C106857;SV;Накопительный счёт «Копилка»;2022-11-25;;active
A1000365;C106857;CC;Кредитная карта «Синица»;2022-11-25;;active
A1000366;C103494;DC;Дебетовая карта «Синица»;2022-08-27;;active
A1000367;C105678;DC;Дебетовая карта «Синица»;2026-02-11;;active
A1000368;C100111;DC;Дебетовая карта «Синица»;2024-03-05;;active
A1000369;C100111;SV;Накопительный счёт «Копилка»;2024-12-16;;active
A1000370;C100111;CC;Кредитная карта «Синица»;2024-03-05;;active
A1000371;C101533;DC;Дебетовая карта «Синица»;2025-11-24;;active
A1000372;C101533;DC;Дебетовая карта «Синица»;2026-08-26;;active
A1000373;C101533;DEP;Вклад «Гнездо»;2026-09-26;;active
A1000374;C105436;DC;Дебетовая карта «Синица»;2021-05-18;;active
A1000375;C105436;DC;Дебетовая карта «Синица»;2021-05-18;;active
A1000376;C109937;DC;Дебетовая карта «Синица»;2024-09-17;;active
A1000377;C100280;DC;Дебетовая карта «Синица»;2026-12-03;;active
A1000378;C111772;DC;Дебетовая карта «Синица»;2025-01-20;;active
A1000379;C103774;DC;Дебетовая карта «Синица»;2026-06-14;;active
A1000380;C103774;SV;Накопительный счёт «Копилка»;2025-10-17;;active
A1000381;C100534;DC;Дебетовая карта «Синица»;2026-03-10;2025-07-08;closed
A1000382;C100534;SV;Накопительный счёт «Копилка»;2024-01-13;;active
