merchant_id,merchant_name,merchant_name_latin,mcc,channel,currency,home_city
M3174,АЗС «Регион-79»,AZS REGION-79,5541,pos,RUB,Екатеринбург
M3175,ООО «Вектор»,OOO VEKTOR,4900,pos,RUB,Москва
M3176,ИП Степанов П.Е.,IP STEPANOV,5999,pos,RUB,Санкт-Петербург
M3177,Аптека №237,APTEKA 237,5912,pos,RUB,Ростов-на-Дону
M3178,ИП Макаров П.Н.,IP MAKAROV,5732,pos,RUB,Москва
M3179,ООО «Юпитер»,OOO YUPITER,5651,pos,RUB,Новосибирск
M3180,ИП Баранов К.И.,IP BARANOV,5651,pos,RUB,Иркутск
M3181,ИП Давыдов К.А.,IP DAVYDOV,5999,pos,RUB,Калининград
M3182,ИП Виноградов Н.А.,IP VINOGRADOV,5541,pos,RUB,Тюмень
M3183,ИП Баранов Р.И.,IP BARANOV,5999,pos,RUB,Нижний Новгород
M3184,ООО «Юпитер»,OOO YUPITER,5732,pos,RUB,Тюмень
M3185,ООО «Форум»,OOO FORUM,5999,pos,RUB,Ростов-на-Дону
M3186,ИП Ковалёв С.А.,IP KOVALEV,5812,pos,RUB,Екатеринбург
M3187,ООО «Прогресс»,OOO PROGRESS,5921,pos,RUB,Санкт-Петербург
M3188,ИП Фролов С.Н.,IP FROLOV,5921,pos,RUB,Москва
M3189,Кафе «Минутка»,CAFE MINUTKA,5812,pos,RUB,Москва
M3190,ООО «Дельта»,OOO DELTA,5942,pos,RUB,Краснодар
M3191,АЗС «Регион-60»,AZS REGION-60,5541,pos,RUB,Уфа
M3192,Кафе «Облепиха»,CAFE OBLEPIKHA,5814,pos,RUB,Красноярск
M3193,ИП Степанов И.И.,IP STEPANOV,5999,pos,RUB,Ростов-на-Дону
M3194,ООО «Родник»,OOO RODNIK,5814,pos,RUB,Москва
M3195,ООО «Сапфир»,OOO SAPFIR,5541,pos,RUB,Самара
M3196,ООО «Прогресс»,OOO PROGRESS,5999,pos,RUB,Воронеж
M3197,ООО «Меркурий»,OOO MERKURIY,5651,pos,RUB,Красноярск
M3198,Аптека №848,APTEKA 848,5912,pos,RUB,Екатеринбург
M3199,Аптека №764,APTEKA 764,5912,ecom,RUB,Москва
M3200,ООО «Салют»,OOO SALYUT,5921,pos,RUB,Нижний Новгород
M3201,Аптека №131,APTEKA 131,5912,pos,RUB,Санкт-Петербург
M3202,АЗС «Регион-63»,AZS REGION-63,5541,pos,RUB,Санкт-Петербург
M3203,ООО «Рубин»,OOO RUBIN,4900,ecom,RUB,Уфа
M3204,АЗС «Регион-89»,AZS REGION-89,5541,pos,RUB,Ростов-на-Дону
M3205,Кафе «Восход»,CAFE VOSKHOD,5814,pos,RUB,Казань
M3206,ИП Гусев К.А.,IP GUSEV,5411,pos,RUB,Ставрополь
M3207,Кафе «Самовар»,CAFE SAMOVAR,5814,pos,RUB,Москва
M3208,Кафе «Ковчег»,CAFE KOVCHEG,5814,ecom,RUB,Москва
M3209,АЗС «Регион-20»,AZS REGION-20,5541,pos,RUB,Москва
M3210,Аптека №221,APTEKA 221,5912,pos,RUB,Самара
M3211,ИП Александров С.А.,IP ALEKSANDROV,5812,pos,RUB,Краснодар
M3212,ИП Баранов М.Н.,IP BARANOV,5999,pos,RUB,Москва
M3213,ООО «Ромашка»,OOO ROMASHKA,5411,pos,RUB,Екатеринбург
M3214,Аптека №408,APTEKA 408,5912,pos,RUB,Москва
M3215,ИП Степанов Р.И.,IP STEPANOV,5411,pos,RUB,Воронеж
M3216,АЗС «Регион-39»,AZS REGION-39,5541,pos,RUB,Москва
M3217,ООО «Альянс»,OOO ALYANS,5942,pos,RUB,Санкт-Петербург
M3218,Аптека №935,APTEKA 935,5912,pos,RUB,Иркутск
M3219,ИП Поляков А.А.,IP POLYAKOV,5942,pos,RUB,Краснодар
M3220,ИП Сергеев Р.Н.,IP SERGEEV,5999,pos,RUB,Казань
M3221,ООО «Импульс»,OOO IMPULS,5651,pos,RUB,Москва
M3222,АЗС «Регион-90»,AZS REGION-90,5541,pos,RUB,Москва
M3223,ИП Шевченко Е.В.,IP SHEVCHENKO,5812,pos,RUB,Санкт-Петербург
M3224,Кафе «Маяк»,CAFE MAYAK,5814,pos,RUB,Казань
M3225,АЗС «Регион-51»,AZS REGION-51,5541,pos,RUB,Москва
M3226,Кафе «Вишня»,CAFE VISHNYA,5812,pos,RUB,Москва
M3227,АЗС «Регион-99»,AZS REGION-99,5541,pos,RUB,Волгоград
M3228,АЗС «Регион-67»,AZS REGION-67,5541,pos,RUB,Москва
M3229,ООО «Топаз»,OOO TOPAZ,5999,ecom,RUB,Нижний Новгород
M3230,ИП Попов Р.В.,IP POPOV,5812,pos,RUB,Москва
M3231,Кафе «Лаванда»,CAFE LAVANDA,5814,pos,RUB,Владивосток
M3232,ИП Сорокин А.И.,IP SOROKIN,5921,pos,RUB,Уфа
M3233,Кафе «Крендель»,CAFE KRENDEL,5814,pos,RUB,Краснодар
M3234,АЗС «Регион-46»,AZS REGION-46,5541,ecom,RUB,Ижевск
M3235,ИП Тарасов Н.Е.,IP TARASOV,5942,pos,RUB,Санкт-Петербург
M3236,Кафе «Абрикос»,CAFE ABRIKOS,5812,pos,RUB,Москва
M3237,Кафе «Причал»,CAFE PRICHAL,5814,ecom,RUB,Москва
M3238,ИП Зайцев М.В.,IP ZAYTSEV,5942,ecom,RUB,Москва
M3239,ООО «Титан»,OOO TITAN,5921,pos,RUB,Самара
M3240,Аптека №296,APTEKA 296,5912,pos,RUB,Воронеж
M3241,ИП Давыдов С.А.,IP DAVYDOV,5651,pos,RUB,Пермь
M3242,АЗС «Регион-85»,AZS REGION-85,5541,pos,RUB,Москва
M3243,АЗС «Регион-19»,AZS REGION-19,5541,pos,RUB,Санкт-Петербург
M3244,ИП Борисов К.Е.,IP BORISOV,5541,pos,RUB,Москва
M3245,Аптека №846,APTEKA 846,5912,pos,RUB,Москва
M3246,ООО «Форум»,OOO FORUM,5942,pos,RUB,Красноярск
M3247,ИП Яковлев С.Е.,IP YAKOVLEV,4900,pos,RUB,Москва
M3248,Кафе «Лаванда»,CAFE LAVANDA,5812,pos,RUB,Ростов-на-Дону
M3249,ИП Морозов П.Е.,IP MOROZOV,5942,pos,RUB,Екатеринбург
M3250,Аптека №224,APTEKA 224,5912,pos,RUB,Москва
M3251,ИП Попов М.Е.,IP POPOV,5912,pos,RUB,Тюмень
M3252,Аптека №561,APTEKA 561,5912,pos,RUB,Москва
M3253,Кафе «Облепиха»,CAFE OBLEPIKHA,5814,pos,RUB,Екатеринбург
M3254,ООО «Гранат»,OOO GRANAT,5912,pos,RUB,Тюмень
M3255,Кафе «Полянка»,CAFE POLYANKA,5814,ecom,RUB,Краснодар
M3256,Аптека №961,APTEKA 961,5912,pos,RUB,Краснодар
M3257,ИП Егоров Р.Н.,IP EGOROV,5814,pos,RUB,Самара
M3258,Аптека №470,APTEKA 470,5912,pos,RUB,Санкт-Петербург
M3259,ИП Баранов Е.В.,IP BARANOV,5732,pos,RUB,Воронеж
M3260,ООО «Зенит»,OOO ZENIT,5812,pos,RUB,Санкт-Петербург
M3261,ООО «Ромашка»,OOO ROMASHKA,5942,pos,RUB,Краснодар
M3262,ИП Дмитриев К.В.,IP DMITRIEV,5651,pos,RUB,Саратов
M3263,АЗС «Регион-95»,AZS REGION-95,5541,pos,RUB,Москва
M3264,Кафе «Бриз»,CAFE BRIZ,5814,pos,RUB,Казань
M3265,Кафе «Полянка»,CAFE POLYANKA,5812,pos,RUB,Москва
M3266,ООО «Дельта»,OOO DELTA,5814,pos,RUB,Екатеринбург
M3267,ИП Александров Е.А.,IP ALEKSANDROV,5732,pos,RUB,Санкт-Петербург
M3268,Кафе «Лаванда»,CAFE LAVANDA,5814,pos,RUB,Екатеринбург
M3269,ИП Поляков М.В.,IP POLYAKOV,5541,pos,RUB,Новосибирск
M3270,ООО «Сапфир»,OOO SAPFIR,5814,pos,RUB,Новосибирск
M3271,ИП Жуков А.В.,IP ZHUKOV,5732,ecom,RUB,Екатеринбург
M3272,АЗС «Регион-41»,AZS REGION-41,5541,pos,RUB,Москва
M3273,Аптека №574,APTEKA 574,5912,pos,RUB,Москва
M3274,Кафе «Лаванда»,CAFE LAVANDA,5814,pos,RUB,Москва
M3275,Аптека №206,APTEKA 206,5912,pos,RUB,Москва
M3276,Аптека №500,APTEKA 500,5912,ecom,RUB,Москва
M3277,Кафе «Полянка»,CAFE POLYANKA,5812,pos,RUB,Уфа
M3278,Кафе «Крендель»,CAFE KRENDEL,5814,pos,RUB,Ставрополь
M3279,Кафе «Самовар»,CAFE SAMOVAR,5812,pos,RUB,Самара
M3280,Аптека №192,APTEKA 192,5912,pos,RUB,Краснодар
M3281,АЗС «Регион-24»,AZS REGION-24,5541,pos,RUB,Уфа
M3282,ООО «Рубин»,OOO RUBIN,5999,pos,RUB,Санкт-Петербург
M3283,ИП Ильин О.В.,IP ILIN,5812,pos,RUB,Москва
M3284,ООО «Титан»,OOO TITAN,5912,pos,RUB,Санкт-Петербург
M3285,Аптека №182,APTEKA 182,5912,ecom,RUB,Казань
M3286,АЗС «Регион-29»,AZS REGION-29,5541,pos,RUB,Самара
M3287,ИП Комаров М.Н.,IP KOMAROV,5921,pos,RUB,Москва
M3288,ИП Баранов С.Е.,IP BARANOV,5921,pos,RUB,Нижний Новгород
M3289,ООО «Альянс»,OOO ALYANS,5999,pos,RUB,Москва
M3290,ООО «Гранат»,OOO GRANAT,5942,pos,RUB,Воронеж
M3291,АЗС «Регион-96»,AZS REGION-96,5541,pos,RUB,Ростов-на-Дону
M3292,ООО «Импульс»,OOO IMPULS,5921,pos,RUB,Москва
M3293,ИП Захаров О.Е.,IP ZAKHAROV,5411,pos,RUB,Воронеж
M3294,ИП Иванов С.И.,IP IVANOV,5732,pos,RUB,Пермь
M3295,Аптека №976,APTEKA 976,5912,pos,RUB,Санкт-Петербург
M3296,ИП Козлов С.Н.,IP KOZLOV,5651,pos,RUB,Москва
M3297,ООО «Импульс»,OOO IMPULS,5411,pos,RUB,Москва
M3298,ИП Баранов О.А.,IP BARANOV,5732,pos,RUB,Москва
M3299,ООО «Атлант»,OOO ATLANT,5921,pos,RUB,Казань
M3300,ИП Иванов К.В.,IP IVANOV,5732,pos,RUB,Новосибирск
M3301,ИП Тарасов О.А.,IP TARASOV,5912,pos,RUB,Иннополис
M3302,АЗС «Регион-34»,AZS REGION-34,5541,pos,RUB,Санкт-Петербург
M3303,Кафе «Барбарис»,CAFE BARBARIS,5814,pos,RUB,Калининград
M3304,ООО «Импульс»,OOO IMPULS,5912,pos,RUB,Новосибирск
M3305,ООО «Агат»,OOO AGAT,5942,ecom,RUB,Казань
M3306,АЗС «Регион-20»,AZS REGION-20,5541,pos,RUB,Казань
M3307,ООО «Титан»,OOO TITAN,5651,pos,RUB,Москва
M3308,АЗС «Регион-75»,AZS REGION-75,5541,pos,RUB,Москва
M3309,ИП Белов Р.И.,IP BELOV,5921,ecom,RUB,Москва
M3310,Аптека №638,APTEKA 638,5912,pos,RUB,Красноярск
M3311,ИП Шевченко Н.Н.,IP SHEVCHENKO,5541,pos,RUB,Москва
M3312,Кафе «Шафран»,CAFE SHAFRAN,5812,pos,RUB,Москва
M3313,ООО «Эверест»,OOO EVEREST,5814,pos,RUB,Екатеринбург
M3314,Кафе «Облепиха»,CAFE OBLEPIKHA,5812,pos,RUB,Москва
M3315,Кафе «Абрикос»,CAFE ABRIKOS,5812,pos,RUB,Волгоград
M3316,АЗС «Регион-45»,AZS REGION-45,5541,pos,RUB,Москва
M3317,ИП Попов С.И.,IP POPOV,5814,pos,RUB,Санкт-Петербург
M3318,АЗС «Регион-86»,AZS REGION-86,5541,pos,RUB,Воронеж
M3319,Кафе «Полянка»,CAFE POLYANKA,5814,pos,RUB,Екатеринбург
M3320,Кафе «Барбарис»,CAFE BARBARIS,5812,pos,RUB,Хабаровск
M3321,Кафе «Черника»,CAFE CHERNIKA,5812,ecom,RUB,Москва
M3322,Аптека №882,APTEKA 882,5912,pos,RUB,Москва
M3323,Аптека №644,APTEKA 644,5912,pos,RUB,Москва
M3324,ИП Волков А.А.,IP VOLKOV,5732,ecom,RUB,Новосибирск
M3325,Кафе «Ковчег»,CAFE KOVCHEG,5814,pos,RUB,Москва
M3326,Кафе «Причал»,CAFE PRICHAL,5814,pos,RUB,Нижний Новгород
M3327,ООО «Эверест»,OOO EVEREST,5942,pos,RUB,Сочи
M3328,ООО «Сапфир»,OOO SAPFIR,5812,pos,RUB,Уфа
M3329,АЗС «Регион-12»,AZS REGION-12,5541,pos,RUB,Ростов-на-Дону
M3330,АЗС «Регион-54»,AZS REGION-54,5541,pos,RUB,Краснодар
M3331,Кафе «Веранда»,CAFE VERANDA,5812,pos,RUB,Казань
M3332,АЗС «Регион-38»,AZS REGION-38,5541,pos,RUB,Тюмень
M3333,ИП Киселёв А.Е.,IP KISELEV,5651,pos,RUB,Казань
M3334,ООО «Фрегат»,OOO FREGAT,5999,pos,RUB,Красноярск
M3335,ООО «Альянс»,OOO ALYANS,5942,pos,RUB,Санкт-Петербург
M3336,ООО «Ромашка»,OOO ROMASHKA,5942,pos,RUB,Пермь
M3337,ИП Кравченко С.В.,IP KRAVCHENKO,5921,pos,RUB,Москва
M3338,Кафе «Минутка»,CAFE MINUTKA,5812,pos,RUB,Пермь
M3339,ИП Сергеев И.И.,IP SERGEEV,5814,pos,RUB,Москва
M3340,ООО «Форум»,OOO FORUM,5812,pos,RUB,Санкт-Петербург
M3341,Кафе «Вишня»,CAFE VISHNYA,5812,pos,RUB,Москва
M3342,ООО «Юпитер»,OOO YUPITER,5732,pos,RUB,Воронеж
M3343,АЗС «Регион-34»,AZS REGION-34,5541,pos,RUB,Иркутск
